name,cho_per_100g,calories_per_100g,protein_per_100g,fat_per_100g,fiber_per_100g,is_vegan,is_vegetarian,is_gluten_free,is_lactose_free,food_group,typical_serving_size_g
formaggio crema,0.8,51,0.9,5.0,0.0,True,True,True,True,proteine,90
formaggio neufchatel,3.1,215,7.8,19.4,0.0,True,True,True,True,proteine,90
requeijao cremoso catupiria leggera,0.9,49,0.8,3.6,0.1,False,True,True,True,carboidrati,100
ricotta,1.5,30,1.5,2.0,0.0,True,True,True,True,carboidrati,100
crema di formaggio a basso contenuto di grassi,1.2,30,1.2,2.3,0.0,True,True,True,True,proteine,90
crema di formaggio senza grassi,1.4,19,2.8,0.2,0.0,True,False,True,True,proteine,90
formaggio gruyere,0.1,116,8.3,9.1,0.0,True,True,True,True,proteine,90
formaggio cheddar,0.9,113,6.4,9.3,0.0,True,True,True,True,proteine,90
Parmigiano,0.6,71,6.4,4.5,0.0,False,False,False,True,dolcificanti,5
formaggio romano,0.2,19,1.6,1.3,0.0,True,True,True,True,proteine,90
parmigiano grattugiato,0.7,21,1.4,1.4,0.0,False,False,False,True,dolcificanti,5
formaggio salut di porto,0.8,465,31.4,37.2,0.0,True,False,True,True,proteine,90
formaggio svizzero,0.4,98,6.7,7.7,0.0,True,True,True,True,proteine,90
formaggio di capra duro,0.6,128,8.6,10.1,0.0,True,False,True,True,proteine,90
formaggio gouda,0.6,100,7.0,7.7,0.0,True,True,True,True,proteine,90
pepe jack formaggio erba medica,0.0,75,5.0,6.0,2.5,True,False,True,True,proteine,90
Formaggio a grana grossa,0.9,106,7.1,8.3,0.0,True,True,True,True,proteine,90
formaggio gjetost,96.8,1058,21.9,67.0,0.0,True,True,True,True,proteine,90
formaggio tilsit,0.8,136,9.8,10.4,0.0,True,True,True,True,proteine,90
Formaggio di capra,0.009,103,6.1,8.4,0.0,True,False,True,True,proteine,90
formaggio mattone,0.8,111,7.0,8.9,0.0,True,True,True,True,proteine,90
asadero formaggio,3.2,402,25.5,31.9,0.0,True,True,True,True,proteine,90
formaggio camembert,0.1,90,5.9,7.3,0.0,True,True,True,True,proteine,90
provolone formaggio ridotto grasso,4.0,310,27.9,19.9,0.0,True,True,True,True,proteine,90
formaggio roquefort,1.7,314,18.3,26.0,0.0,True,True,True,True,proteine,90
formaggio queso blanco,3.0,366,24.0,28.7,0.0,True,False,True,True,proteine,90
questo formaggio seco,2.0,315,23.8,23.6,0.0,True,False,True,True,proteine,90
formaggio di capra morbido,0.0,75,5.2,6.0,0.0,True,False,True,True,proteine,90
mozzarella,0.7,90,6.7,6.6,0.0,True,True,True,True,proteine,90
formaggio chihuahua,7.3,494,28.5,39.2,0.0,True,True,True,True,proteine,90
Limburger cheese,0.1,98,6.0,8.2,0.0,True,True,True,True,carboidrati,100
muenster cheese,1.5,486,30.9,39.7,0.0,True,True,True,True,condimenti,10
formaggio affresco queso,3.6,365,22.1,29.1,0.0,True,False,True,True,proteine,90
formaggio brie,0.1,100,6.2,8.3,0.0,True,True,True,True,proteine,90
pimento formaggio,2.4,525,31.0,43.7,0.1,True,False,True,True,proteine,90
Formaggio messicano,3.8,316,27.7,21.7,0.0,True,False,True,True,proteine,90
Feta,1.2,80,4.3,6.4,0.0,True,True,True,True,frutta,120
mozzarella senza grassi,4.0,159,35.8,0.0,2.0,False,False,False,True,proteine,90
provolone,2.8,463,33.8,35.1,0.0,True,True,True,True,frutta,120
anejo formaggio,6.1,492,28.3,39.6,0.0,True,True,True,True,proteine,90
tesoro,17.3,64,0.08,0.0,0.025,False,True,True,False,carboidrati,100
burro di mele,8.5,35,0.045,0.063,0.3,True,False,False,True,grassi,15
confettura di frutta,13.8,56,0.0,0.095,0.2,True,False,True,True,frutta,120
crema di nocciole al cioccolato,11.5,100,1.0,5.5,1.0,True,True,True,True,condimenti,10
Burro di arachidi,3.6,88,3.3,7.4,0.9,True,False,False,True,grassi,15
spalmatura di arachidi,2.2,101,3.8,8.5,1.2,False,True,False,True,grassi,15
Barbaforte/rafano/cren,2.3,88,10.1,9.8,0.2,True,True,True,True,carboidrati,100
cheese spread,8.4,708,17.0,68.6,0.0,True,True,True,True,condimenti,10
tahini,3.9,86,2.7,7.2,1.4,True,True,True,True,condimenti,10
Marmellata d'arancia,13.3,49,0.014,0.0,0.1,False,False,False,True,frutta,120
spalmatura di formaggio americano,1.4,46,2.6,3.4,0.0,True,True,True,True,proteine,90
confettura di albicocche,12.9,48,0.1,0.01,0.044,True,True,True,True,dolcificanti,5
Burro di arachidi ripieno,3.5,94,3.8,8.0,1.3,True,False,True,True,grassi,15
prosciutto e formaggio spalmabile,0.3,37,2.4,2.8,0.0,True,True,False,True,proteine,90
pollo e riso in casseruola fatti in casa,2.4,27,2.0,1.0,0.3,True,True,True,True,carboidrati,100
pagnotta per picnic,1.3,65,4.2,4.7,0.0,True,True,True,True,carboidrati,100
Tamale di mais,44.3,309,5.8,12.0,5.3,False,False,False,False,dolcificanti,5
patate al forno con salsa di formaggio pancetta,44.4,451,18.4,25.9,0.0,True,True,True,True,proteine,90
involtino d'uovo cinese,24.3,223,7.4,10.6,2.3,True,True,True,True,proteine,90
croissant al burro,26.1,231,4.7,12.0,1.5,True,False,True,True,carboidrati,100
enchilada con formaggio manzo,30.5,323,11.9,17.6,0.0,True,True,True,True,proteine,90
hash di manzo cotto con patate,21.9,387,20.6,24.2,2.6,True,True,True,True,proteine,90
biscotto con pancetta al formaggio uovo,35.4,436,17.4,25.3,0.3,True,True,True,True,carboidrati,100
bagel con prosciutto uovo formaggio,52.4,483,26.7,18.5,0.4,True,True,True,True,proteine,90
quesadilla con pollo,43.3,529,27.1,27.5,3.1,True,True,True,False,proteine,90
riso di mais,25.2,110,1.8,0.3,0.4,False,False,False,False,carboidrati,100
pollo kung pao,41.5,779,59.0,42.2,9.1,True,True,True,False,proteine,90
empanada di manzo,27.8,298,10.1,16.3,1.8,True,True,True,False,proteine,90
Frijoles con formaggio,28.7,225,11.4,7.8,0.0,True,True,True,True,proteine,90
burrito con carne di manzo,43.9,285,9.1,8.1,4.4,True,True,True,False,proteine,90
Panino al pollo croccante,33.2,350,14.8,17.6,0.0,True,True,True,True,proteine,90
enchilada con formaggio,21.2,374,15.4,25.3,2.6,True,False,True,True,proteine,90
involtino d'uovo di maiale,25.1,189,8.4,6.1,1.8,True,True,False,True,proteine,90
mais sulla pannocchia con burro,31.9,155,4.5,3.4,0.0,True,False,False,True,grassi,15
frittelle con sciroppo di burro,45.4,260,4.1,7.0,0.0,True,False,True,True,grassi,15
burrito con fagioli,35.7,224,7.0,6.7,0.0,True,True,True,True,proteine,90
Uova strapazzate,1.0,100,6.5,7.6,0.0,False,False,True,False,carboidrati,100
patate al forno con panna acida,50.0,393,6.7,22.3,0.0,True,False,True,True,grassi,15
Tacchino e sugo,11.1,161,14.1,6.3,0.0,True,True,False,False,condimenti,10
involtino d'uovo di pollo,22.8,158,8.4,3.6,1.9,True,True,True,False,proteine,90
involtino d'uovo vegetale,25.0,153,5.2,3.6,2.2,True,False,True,True,proteine,90
Rotolo di prosciutto,1.1,67,3.8,5.2,0.0,True,True,False,True,proteine,90
biscotto con prosciutto,43.8,386,13.4,18.4,0.8,True,True,True,False,carboidrati,100
pollo al limone,122.0,1440,68.6,74.9,7.0,True,True,True,False,frutta,120
hummus,49.5,435,12.0,21.1,9.8,True,True,True,True,condimenti,10
croissant con formaggio all'uovo,24.3,368,12.8,24.7,0.0,True,True,True,True,carboidrati,100
enchirito con fagioli di manzo di formaggio,33.8,344,17.9,16.1,0.0,True,True,True,True,proteine,90
Carne di maiale acida dolce,3.3,38,1.2,2.2,0.1,True,True,False,False,proteine,90
torta di granchio,5.1,160,11.3,10.4,0.2,True,True,True,True,carboidrati,100
Involtoio per la cena all'uovo,18.2,107,3.3,2.2,1.3,True,False,True,False,proteine,90
muffin inglese con salsiccia al formaggio d'uovo,28.8,472,22.1,29.9,0.3,True,True,True,True,carboidrati,100
pancakes al latticello,10.9,86,2.6,3.5,0.0,True,True,True,True,condimenti,10
omelette,0.4,94,6.4,7.1,0.0,True,True,True,True,condimenti,10
taco con lattuga al formaggio di pollo,19.3,185,13.0,6.2,1.2,True,True,True,True,verdura,80
Souffleto di spinaci,8.0,230,10.7,17.6,1.0,True,True,True,True,verdura,80
muffin inglese con salsiccia al formaggio,27.3,365,14.3,22.3,0.5,True,True,True,True,carboidrati,100
Gratina di patate,27.6,328,12.4,18.6,4.4,False,False,False,True,grassi,15
biscotto con uovo,35.4,436,17.4,25.3,0.3,True,False,True,True,carboidrati,100
